Number of words,36429
Number of unique words,2660
Average word frequency,13.695113
Entropy,6.890994

Word,Frequency,Proportion,Entropy Term
wants,4,0.000110,0.001001
daughter,13,0.000357,0.002833
puts,6,0.000165,0.001435
heat,3,0.000082,0.000774
simply,16,0.000439,0.003395
usually,8,0.000220,0.001850
broken,4,0.000110,0.001001
worries,3,0.000082,0.000774
child,52,0.001427,0.009352
donna,23,0.000631,0.004652
arnold,22,0.000604,0.004476
door,13,0.000357,0.002833
isnt,31,0.000851,0.006016
bringing,6,0.000165,0.001435
ground,5,0.000137,0.001221
kill,25,0.000686,0.004999
getting,26,0.000714,0.005171
reached,23,0.000631,0.004652
urban,13,0.000357,0.002833
development,3,0.000082,0.000774
columbia,5,0.000137,0.001221
empty,4,0.000110,0.001001
familiar,8,0.000220,0.001850
stay,10,0.000275,0.002251
hear,6,0.000165,0.001435
address,6,0.000165,0.001435
concerns,9,0.000247,0.002052
wisconsin,15,0.000412,0.003210
calling,21,0.000576,0.004300
asking,14,0.000384,0.003022
walking,54,0.001482,0.009656
green,40,0.001098,0.007482
bay,25,0.000686,0.004999
balloons,12,0.000329,0.002641
doesnt,19,0.000522,0.003942
appear,9,0.000247,0.002052
armed,32,0.000878,0.006182
dangerous,30,0.000824,0.005849
breaking,3,0.000082,0.000774
law,58,0.001592,0.010258
captain,3,0.000082,0.000774
kevin,7,0.000192,0.001644
department,95,0.002608,0.015515
walk,23,0.000631,0.004652
anywhere,4,0.000110,0.001001
gags,14,0.000384,0.003022
spotted,44,0.001208,0.008115
aug,23,0.000631,0.004652
facebook,82,0.002251,0.013723
page,30,0.000824,0.005849
popped,8,0.000220,0.001850
met,8,0.000220,0.001850
die,4,0.000110,0.001001
heart,3,0.000082,0.000774
terror,14,0.000384,0.003022
photos,13,0.000357,0.002833
show,18,0.000494,0.003762
full,31,0.000851,0.006016
high,70,0.001922,0.012019
eyebrows,3,0.000082,0.000774
eyes,7,0.000192,0.001644
wears,4,0.000110,0.001001
ruffled,3,0.000082,0.000774
collar,3,0.000082,0.000774
believe,36,0.000988,0.006838
horror,34,0.000933,0.006512
film,26,0.000714,0.005171
havent,19,0.000522,0.003942
camera,3,0.000082,0.000774
crew,4,0.000110,0.001001
surprised,4,0.000110,0.001001
gone,12,0.000329,0.002641
viral,24,0.000659,0.004826
sc,17,0.000467,0.003579
fox,11,0.000302,0.002447
carolina,150,0.004118,0.022616
multiple,35,0.000961,0.006675
enforcement,45,0.001235,0.008272
agencies,10,0.000275,0.002251
investigating,32,0.000878,0.006182
rash,24,0.000659,0.004826
incidents,64,0.001757,0.011146
involving,21,0.000576,0.004300
sightings,307,0.008427,0.040251
complexes,6,0.000165,0.001435
areas,41,0.001125,0.007641
spartanburg,12,0.000329,0.002641
counties,5,0.000137,0.001221
county,156,0.004282,0.023353
deputies,62,0.001702,0.010852
investigate,18,0.000494,0.003762
road,27,0.000741,0.005342
afternoon,6,0.000165,0.001435
emergency,4,0.000110,0.001001
confirmed,21,0.000576,0.004300
block,15,0.000412,0.003210
woods,230,0.006314,0.031979
sheriffs,77,0.002114,0.013019
office,79,0.002169,0.013301
open,6,0.000165,0.001435
cases,30,0.000824,0.005849
initially,11,0.000302,0.002447
wooded,33,0.000906,0.006347
reportly,39,0.001071,0.007322
encourage,6,0.000165,0.001435
children,275,0.007549,0.036887
join,4,0.000110,0.001001
situation,47,0.001290,0.008584
knocking,4,0.000110,0.001001
doors,9,0.000247,0.002052
homes,6,0.000165,0.001435
investigators,21,0.000576,0.004300
conclusive,4,0.000110,0.001001
evidence,43,0.001180,0.007958
surfaced,15,0.000412,0.003210
suspects,24,0.000659,0.004826
named,17,0.000467,0.003579
officer,34,0.000933,0.006512
gilberto,4,0.000110,0.001001
franco,10,0.000275,0.002251
obstacle,3,0.000082,0.000774
lack,5,0.000137,0.001221
descriptions,6,0.000165,0.001435
receiving,13,0.000357,0.002833
agency,5,0.000137,0.001221
information,30,0.000824,0.005849
hair,32,0.000878,0.006182
colors,4,0.000110,0.001001
masks,63,0.001729,0.010999
faces,16,0.000439,0.003395
warning,32,0.000878,0.006182
letter,45,0.001235,0.008272
begin,9,0.000247,0.002052
shared,11,0.000302,0.002447
found,81,0.002224,0.013583
left,18,0.000494,0.003762
concerned,19,0.000522,0.003942
safety,58,0.001592,0.010258
neighborhood,22,0.000604,0.004476
letters,9,0.000247,0.002052
posted,52,0.001427,0.009352
drive,12,0.000329,0.002641
stated,14,0.000384,0.003022
property,42,0.001153,0.007800
complaints,34,0.000933,0.006512
lure,104,0.002855,0.016726
appears,22,0.000604,0.004476
printed,4,0.000110,0.001001
letterhead,3,0.000082,0.000774
reminds,4,0.000110,0.001001
public,91,0.002498,0.014969
alone,30,0.000824,0.005849
indicates,5,0.000137,0.001221
conducting,5,0.000137,0.001221
due,18,0.000494,0.003762
below,8,0.000220,0.001850
text,9,0.000247,0.002052
sic,25,0.000686,0.004999
several,84,0.002306,0.014002
conversation,11,0.000302,0.002447
regarding,21,0.000576,0.004300
clothing,18,0.000494,0.003762
foremost,8,0.000220,0.001850
childrens,29,0.000796,0.005681
priority,12,0.000329,0.002641
roads,16,0.000439,0.003395
persons,11,0.000302,0.002447
aware,30,0.000824,0.005849
riding,8,0.000220,0.001850
remember,12,0.000329,0.002641
curfew,10,0.000275,0.002251
ensure,13,0.000357,0.002833
please,19,0.000522,0.003942
hours,32,0.000878,0.006182
supervised,6,0.000165,0.001435
anymore,12,0.000329,0.002641
becomes,11,0.000302,0.002447
issue,23,0.000631,0.004652
sent,37,0.001016,0.007000
thank,5,0.000137,0.001221
manager,16,0.000439,0.003395
residing,3,0.000082,0.000774
son,34,0.000933,0.006512
seeing,75,0.002059,0.012735
basketball,6,0.000165,0.001435
court,17,0.000467,0.003579
community,49,0.001345,0.008893
activist,4,0.000110,0.001001
bruce,4,0.000110,0.001001
wilson,11,0.000302,0.002447
involved,18,0.000494,0.003762
safe,30,0.000824,0.005849
turn,11,0.000302,0.002447
harmless,15,0.000412,0.003210
suspicious,62,0.001702,0.010852
character,23,0.000631,0.004652
attire,12,0.000329,0.002641
white,92,0.002525,0.015106
paint,26,0.000714,0.005171
enticing,9,0.000247,0.002052
follow,33,0.000906,0.006347
himher,5,0.000137,0.001221
investigative,6,0.000165,0.001435
state,85,0.002333,0.014141
mother,19,0.000522,0.003942
whose,10,0.000275,0.002251
name,24,0.000659,0.004826
witnessed,10,0.000275,0.002251
notified,7,0.000192,0.001644
presence,13,0.000357,0.002833
laser,13,0.000357,0.002833
lights,13,0.000357,0.002833
resident,36,0.000988,0.006838
largefigured,9,0.000247,0.002052
blinking,13,0.000357,0.002833
nose,35,0.000961,0.006675
streetlight,3,0.000082,0.000774
spoke,10,0.000275,0.002251
persuade,4,0.000110,0.001001
further,14,0.000384,0.003022
displaying,7,0.000192,0.001644
amounts,14,0.000384,0.003022
money,29,0.000796,0.005681
advised,6,0.000165,0.001435
believed,9,0.000247,0.002052
lived,9,0.000247,0.002052
old,20,0.000549,0.004122
pond,19,0.000522,0.003942
via,9,0.000247,0.002052
trial,4,0.000110,0.001001
located,8,0.000220,0.001850
signs,11,0.000302,0.002447
activity,33,0.000906,0.006347
area,128,0.003514,0.019856
gunshots,7,0.000192,0.001644
fired,8,0.000220,0.001850
emerald,8,0.000220,0.001850
commons,8,0.000220,0.001850
horse,4,0.000110,0.001001
saw,86,0.002361,0.014280
released,22,0.000604,0.004476
incident,87,0.002388,0.014418
shemwood,14,0.000384,0.003022
shortly,6,0.000165,0.001435
sighted,8,0.000220,0.001850
backyard,9,0.000247,0.002052
red,63,0.001729,0.010999
mask,110,0.003020,0.017521
body,3,0.000082,0.000774
juvenile,15,0.000412,0.003210
photographs,3,0.000082,0.000774
patrol,12,0.000329,0.002641
actively,3,0.000082,0.000774
investigated,15,0.000412,0.003210
increased,20,0.000549,0.004122
substantiate,10,0.000275,0.002251
claims,26,0.000714,0.005171
surveillance,8,0.000220,0.001850
reason,16,0.000439,0.003395
type,8,0.000220,0.001850
seriously,51,0.001400,0.009200
deputy,41,0.001125,0.007641
ryan,6,0.000165,0.001435
flood,19,0.000522,0.003942
within,13,0.000357,0.002833
callers,9,0.000247,0.002052
started,54,0.001482,0.009656
wooden,4,0.000110,0.001001
fence,4,0.000110,0.001001
broke,8,0.000220,0.001850
waiting,6,0.000165,0.001435
car,35,0.000961,0.006675
jumped,7,0.000192,0.001644
took,34,0.000933,0.006512
witnesses,16,0.000439,0.003395
appeared,17,0.000467,0.003579
honda,4,0.000110,0.001001
wednesday,44,0.001208,0.008115
young,27,0.000741,0.005342
girl,39,0.001071,0.007322
home,61,0.001674,0.010704
school,245,0.006725,0.033640
hughes,5,0.000137,0.001221
academy,5,0.000137,0.001221
pleasant,5,0.000137,0.001221
en,3,0.000082,0.000774
route,8,0.000220,0.001850
rice,5,0.000137,0.001221
street,34,0.000933,0.006512
deoyley,3,0.000082,0.000774
avenue,17,0.000467,0.003579
park,22,0.000604,0.004476
haywood,3,0.000082,0.000774
laundromat,3,0.000082,0.000774
action,14,0.000384,0.003022
stood,4,0.000110,0.001001
stared,4,0.000110,0.001001
described,17,0.000467,0.003579
ages,4,0.000110,0.001001
feet,4,0.000110,0.001001
witness,11,0.000302,0.002447
describes,3,0.000082,0.000774
coming,27,0.000741,0.005342
sides,3,0.000082,0.000774
subject,7,0.000192,0.001644
gray,3,0.000082,0.000774
shirt,11,0.000302,0.002447
gloves,13,0.000357,0.002833
pants,15,0.000412,0.003210
thomas,3,0.000082,0.000774
twitter,48,0.001318,0.008738
featured,3,0.000082,0.000774
inside,6,0.000165,0.001435
anybody,5,0.000137,0.001221
else,14,0.000384,0.003022
stories,19,0.000522,0.003942
scene,18,0.000494,0.003762
straight,3,0.000082,0.000774
stephen,52,0.001427,0.009352
kings,24,0.000659,0.004826
freaking,3,0.000082,0.000774
south,127,0.003486,0.019728
someone,106,0.002910,0.016992
hanging,13,0.000357,0.002833
parents,66,0.001812,0.011438
telling,13,0.000357,0.002833
apparently,16,0.000439,0.003395
possibly,15,0.000412,0.003210
cnn,3,0.000082,0.000774
affiliate,8,0.000220,0.001850
whns,3,0.000082,0.000774
send,11,0.000302,0.002447
couple,14,0.000384,0.003022
years,37,0.001016,0.007000
including,35,0.000961,0.006675
brandishing,5,0.000137,0.001221
weapon,4,0.000110,0.001001
turned,33,0.000906,0.006347
husband,3,0.000082,0.000774
remain,4,0.000110,0.001001
anonymous,11,0.000302,0.002447
wonder,6,0.000165,0.001435
connection,16,0.000439,0.003395
advertisement,6,0.000165,0.001435
content,8,0.000220,0.001850
officials,50,0.001373,0.009046
upstate,3,0.000082,0.000774
wyff,7,0.000192,0.001644
asked,31,0.000851,0.006016
drew,6,0.000165,0.001435
pinciaro,13,0.000357,0.002833
checked,7,0.000192,0.001644
crimes,13,0.000357,0.002833
release,19,0.000522,0.003942
todays,5,0.000137,0.001221
date,3,0.000082,0.000774
filed,15,0.000412,0.003210
copy,4,0.000110,0.001001
review,6,0.000165,0.001435
note,11,0.000302,0.002447
reference,3,0.000082,0.000774
heard,29,0.000796,0.005681
refused,4,0.000110,0.001001
give,11,0.000302,0.002447
names,4,0.000110,0.001001
locate,10,0.000275,0.002251
matching,4,0.000110,0.001001
description,8,0.000220,0.001850
case,30,0.000824,0.005849
followup,5,0.000137,0.001221
unit,4,0.000110,0.001001
investigation,25,0.000686,0.004999
extra,10,0.000275,0.002251
patrolling,4,0.000110,0.001001
conduct,10,0.000275,0.002251
entice,6,0.000165,0.001435
leave,9,0.000247,0.002052
whispering,13,0.000357,0.002833
noises,14,0.000384,0.003022
flashing,11,0.000302,0.002447
womans,8,0.000220,0.001850
chains,7,0.000192,0.001644
banging,7,0.000192,0.001644
scared,26,0.000714,0.005171
fib,3,0.000082,0.000774
talk,17,0.000467,0.003579
again,24,0.000659,0.004826
ms,10,0.000275,0.002251
knew,13,0.000357,0.002833
kid,10,0.000275,0.002251
confident,4,0.000110,0.001001
truth,9,0.000247,0.002052
post,42,0.001153,0.007800
dumpster,9,0.000247,0.002052
waved,16,0.000439,0.003395
approach,8,0.000220,0.001850
cash,12,0.000329,0.002641
trail,13,0.000357,0.002833
walked,9,0.000247,0.002052
learned,8,0.000220,0.001850
men,43,0.001180,0.007958
weapons,15,0.000412,0.003210
direction,8,0.000220,0.001850
happen,9,0.000247,0.002052
master,6,0.000165,0.001435
tells,14,0.000384,0.003022
sparked,12,0.000329,0.002641
social,148,0.004063,0.022369
speculation,4,0.000110,0.001001
commented,3,0.000082,0.000774
matter,46,0.001263,0.008428
station,19,0.000522,0.003942
caller,11,0.000302,0.002447
evening,19,0.000522,0.003942
allegations,4,0.000110,0.001001
guns,5,0.000137,0.001221
shell,3,0.000082,0.000774
casings,3,0.000082,0.000774
point,32,0.000878,0.006182
corroborate,3,0.000082,0.000774
true,20,0.000549,0.004122
obtained,5,0.000137,0.001221
followed,14,0.000384,0.003022
coverage,7,0.000192,0.001644
click,6,0.000165,0.001435
ongoing,6,0.000165,0.001435
details,4,0.000110,0.001001
intriguing,3,0.000082,0.000774
unsolved,3,0.000082,0.000774
visit,4,0.000110,0.001001
light,14,0.000384,0.003022
garbage,5,0.000137,0.001221
suspect,27,0.000741,0.005342
residence,3,0.000082,0.000774
safely,4,0.000110,0.001001
harm,20,0.000549,0.004122
approached,12,0.000329,0.002641
buildings,6,0.000165,0.001435
hiking,4,0.000110,0.001001
characters,21,0.000576,0.004300
stopped,11,0.000302,0.002447
continue,9,0.000247,0.002052
either,14,0.000384,0.003022
confirm,8,0.000220,0.001850
definitely,3,0.000082,0.000774
tv,18,0.000494,0.003762
schedule,4,0.000110,0.001001
sports,4,0.000110,0.001001
attempting,17,0.000467,0.003579
august,49,0.001345,0.008893
tribune,7,0.000192,0.001644
email,14,0.000384,0.003022
stating,4,0.000110,0.001001
comment,17,0.000467,0.003579
topics,6,0.000165,0.001435
suggest,7,0.000192,0.001644
correction,3,0.000082,0.000774
sponsored,6,0.000165,0.001435
traffic,6,0.000165,0.001435
md,5,0.000137,0.001221
popular,7,0.000192,0.001644
kitchen,5,0.000137,0.001221
chef,4,0.000110,0.001001
dead,6,0.000165,0.001435
philadelphia,10,0.000275,0.002251
charge,7,0.000192,0.001644
women,9,0.000247,0.002052
experts,6,0.000165,0.001435
stole,3,0.000082,0.000774
walmart,4,0.000110,0.001001
alerts,4,0.000110,0.001001
customers,4,0.000110,0.001001
franklin,3,0.000082,0.000774
charged,33,0.000906,0.006347
attempted,5,0.000137,0.001221
homicide,4,0.000110,0.001001
neighbors,3,0.000082,0.000774
worry,6,0.000165,0.001435
change,9,0.000247,0.002052
ordinance,5,0.000137,0.001221
negative,5,0.000137,0.001221
americas,7,0.000192,0.001644
north,81,0.002224,0.013583
cameras,4,0.000110,0.001001
capture,3,0.000082,0.000774
masked,5,0.000137,0.001221
minutes,9,0.000247,0.002052
levels,3,0.000082,0.000774
city,46,0.001263,0.008428
bill,4,0.000110,0.001001
building,6,0.000165,0.001435
lower,4,0.000110,0.001001
contact,20,0.000549,0.004122
missing,3,0.000082,0.000774
tennessee,10,0.000275,0.002251
student,39,0.001071,0.007322
allegation,4,0.000110,0.001001
manhunt,3,0.000082,0.000774
lives,32,0.000878,0.006182
local,73,0.002004,0.012450
government,6,0.000165,0.001435
september,34,0.000933,0.006512
lancaster,6,0.000165,0.001435
campaign,15,0.000412,0.003210
mobile,3,0.000082,0.000774
apps,4,0.000110,0.001001
app,5,0.000137,0.001221
site,9,0.000247,0.002052
map,3,0.000082,0.000774
politics,5,0.000137,0.001221
online,41,0.001125,0.007641
file,5,0.000137,0.001221
terms,5,0.000137,0.001221
service,5,0.000137,0.001221
policy,5,0.000137,0.001221
st,10,0.000275,0.002251
pa,6,0.000165,0.001435
add,15,0.000412,0.003210
blog,3,0.000082,0.000774
posts,30,0.000824,0.005849
pages,3,0.000082,0.000774
