Number of pairs,37329.000000
Number of unique pairs,6667
Average pair frequency,5.599070
Pair entropy,8.481172

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown streetlight,3.000000,0.000080,0.000758,3.128951
clown further,4.000000,0.000107,0.000980,1.876188
clown old,4.000000,0.000107,0.000980,1.519513
clown activity,10.000000,0.000268,0.002203,1.935029
clown area,23.000000,0.000616,0.004555,1.412415
clown incident,3.000000,0.000080,0.000758,-0.238345
clown shemwood,8.000000,0.000214,0.001811,2.569335
clown backyard,5.000000,0.000134,0.001195,2.541165
clown red,24.000000,0.000643,0.004725,2.163870
clown mask,71.000000,0.001902,0.011916,2.691151
clown seriously,3.000000,0.000080,0.000758,0.295738
clown started,12.000000,0.000321,0.002585,1.624874
clown car,12.000000,0.000321,0.002585,2.058510
clown jumped,4.000000,0.000107,0.000980,2.569335
clown took,6.000000,0.000161,0.001404,1.394350
clown appeared,4.000000,0.000107,0.000980,1.682032
clown wednesday,5.000000,0.000134,0.001195,0.954199
clown young,6.000000,0.000161,0.001404,1.624874
clown girl,6.000000,0.000161,0.001404,1.257149
clown home,9.000000,0.000241,0.002008,1.215302
clown school,19.000000,0.000509,0.003860,0.572132
clown street,7.000000,0.000188,0.001609,1.548501
clown park,7.000000,0.000188,0.001609,1.983819
clown coming,6.000000,0.000161,0.001404,1.624874
clown pants,6.000000,0.000161,0.001404,2.212660
clown twitter,8.000000,0.000214,0.001811,1.337192
clown else,3.000000,0.000080,0.000758,1.588506
clown stories,4.000000,0.000107,0.000980,1.570807
clown stephen,6.000000,0.000161,0.001404,0.969467
clown kings,3.000000,0.000080,0.000758,1.049510
clown south,18.000000,0.000482,0.003683,1.175136
clown someone,11.000000,0.000295,0.002396,0.863407
clown hanging,4.000000,0.000107,0.000980,1.950296
clown parents,3.000000,0.000080,0.000758,0.037909
clown apparently,3.000000,0.000080,0.000758,1.454975
clown possibly,5.000000,0.000134,0.001195,2.030339
clown years,12.000000,0.000321,0.002585,2.002940
clown including,7.000000,0.000188,0.001609,1.519513
clown turned,9.000000,0.000241,0.002008,1.829668
clown officials,7.000000,0.000188,0.001609,1.162838
clown asked,4.000000,0.000107,0.000980,1.081258
clown crimes,3.000000,0.000080,0.000758,1.662614
clown release,3.000000,0.000080,0.000758,1.283125
clown heard,5.000000,0.000134,0.001195,1.371093
clown case,3.000000,0.000080,0.000758,0.826366
clown scared,3.000000,0.000080,0.000758,0.969467
clown again,5.000000,0.000134,0.001195,1.560335
clown post,8.000000,0.000214,0.001811,1.470723
clown dumpster,3.000000,0.000080,0.000758,2.030339
clown waved,6.000000,0.000161,0.001404,2.148122
clown approach,5.000000,0.000134,0.001195,2.658948
clown walked,6.000000,0.000161,0.001404,2.723486
clown weapons,3.000000,0.000080,0.000758,1.519513
clown sparked,4.000000,0.000107,0.000980,2.030339
clown social,30.000000,0.000804,0.005727,1.532936
clown matter,21.000000,0.000563,0.004210,2.344832
clown evening,3.000000,0.000080,0.000758,1.283125
clown point,3.000000,0.000080,0.000758,0.761828
clown light,7.000000,0.000188,0.001609,2.435804
clown approached,5.000000,0.000134,0.001195,2.253482
clown either,5.000000,0.000134,0.001195,2.099332
clown attempting,6.000000,0.000161,0.001404,2.087497
clown august,15.000000,0.000402,0.003142,1.945181
clown kitchen,3.000000,0.000080,0.000758,2.618126
clown charged,4.000000,0.000107,0.000980,1.018738
clown attempted,3.000000,0.000080,0.000758,2.618126
clown north,15.000000,0.000402,0.003142,1.442552
clown city,8.000000,0.000214,0.001811,1.379751
clown lives,19.000000,0.000509,0.003860,2.607654
clown local,14.000000,0.000375,0.002959,1.477549
clown campaign,3.000000,0.000080,0.000758,1.519513
clown online,7.000000,0.000188,0.001609,1.361289
clown allegedly,6.000000,0.000161,0.001404,1.114048
clown friends,3.000000,0.000080,0.000758,1.231831
clown lurking,13.000000,0.000348,0.002773,2.197393
clown edge,4.000000,0.000107,0.000980,1.742657
clown knives,4.000000,0.000107,0.000980,2.117350
clown middle,3.000000,0.000080,0.000758,0.701203
clown cool,3.000000,0.000080,0.000758,1.231831
clown wrote,3.000000,0.000080,0.000758,0.731056
clown boy,3.000000,0.000080,0.000758,0.443374
clown appearing,3.000000,0.000080,0.000758,2.435804
clown days,3.000000,0.000080,0.000758,0.701203
clown spokesman,3.000000,0.000080,0.000758,0.969467
clown seem,5.000000,0.000134,0.001195,2.030339
clown spreading,4.000000,0.000107,0.000980,2.030339
clown national,3.000000,0.000080,0.000758,1.049510
clown considering,3.000000,0.000080,0.000758,2.841269
clown scare,16.000000,0.000429,0.003324,1.790666
clown possibility,3.000000,0.000080,0.000758,2.435804
clown prank,5.000000,0.000134,0.001195,1.183041
clown leading,4.000000,0.000107,0.000980,2.030339
clown led,5.000000,0.000134,0.001195,2.173440
clown outside,13.000000,0.000348,0.002773,1.980328
clown began,9.000000,0.000241,0.002008,1.829668
clown chased,14.000000,0.000375,0.002959,1.855986
clown far,3.000000,0.000080,0.000758,0.761828
clown hoax,9.000000,0.000241,0.002008,1.662614
clown columbus,3.000000,0.000080,0.000758,1.662614
clown bus,6.000000,0.000161,0.001404,1.876188
clown occurred,3.000000,0.000080,0.000758,1.454975
clown university,4.000000,0.000107,0.000980,0.904328
clown forest,5.000000,0.000134,0.001195,2.099332
clown charges,4.000000,0.000107,0.000980,1.018738
clown hand,5.000000,0.000134,0.001195,2.253482
clown nationwide,3.000000,0.000080,0.000758,1.394350
clown frenzy,5.000000,0.000134,0.001195,2.173440
clown carrying,5.000000,0.000134,0.001195,1.905176
clown whole,4.000000,0.000107,0.000980,1.742657
clown marketing,4.000000,0.000107,0.000980,1.379751
clown schools,15.000000,0.000402,0.003142,0.881174
clown students,5.000000,0.000134,0.001195,-0.049103
clown picture,7.000000,0.000188,0.001609,1.673664
clown prowling,4.000000,0.000107,0.000980,2.723486
clown england,3.000000,0.000080,0.000758,2.281653
clown college,3.000000,0.000080,0.000758,0.793576
clown cheer,15.000000,0.000402,0.003142,2.946630
clown earlier,4.000000,0.000107,0.000980,0.826366
clown terrorized,3.000000,0.000080,0.000758,2.618126
clown movie,5.000000,0.000134,0.001195,1.602895
clown rob,3.000000,0.000080,0.000758,1.924978
clown gang,5.000000,0.000134,0.001195,2.253482
clown ohio,4.000000,0.000107,0.000980,1.018738
clown knife,8.000000,0.000214,0.001811,2.163870
clown attack,5.000000,0.000134,0.001195,1.965800
clown authorities,4.000000,0.000107,0.000980,0.420901
clown happened,3.000000,0.000080,0.000758,0.895359
clown blue,3.000000,0.000080,0.000758,1.519513
clown view,3.000000,0.000080,0.000758,1.924978
clown image,6.000000,0.000161,0.001404,1.624874
clown somebody,3.000000,0.000080,0.000758,1.283125
clown wear,3.000000,0.000080,0.000758,1.283125
clown until,4.000000,0.000107,0.000980,1.682032
clown hurt,5.000000,0.000134,0.001195,1.965800
clown scaring,7.000000,0.000188,0.001609,1.673664
clown neighborhoods,3.000000,0.000080,0.000758,2.148122
clown cars,3.000000,0.000080,0.000758,1.588506
clown performers,3.000000,0.000080,0.000758,2.435804
clown parties,7.000000,0.000188,0.001609,2.366811
clown happy,6.000000,0.000161,0.001404,2.087497
clown business,4.000000,0.000107,0.000980,1.807195
clown terrified,3.000000,0.000080,0.000758,1.662614
clown rather,3.000000,0.000080,0.000758,2.148122
clown wielding,8.000000,0.000214,0.001811,2.723486
clown arrests,4.000000,0.000107,0.000980,1.114048
clown country,19.000000,0.000509,0.003860,1.729585
clown problem,6.000000,0.000161,0.001404,2.148122
clown fear,8.000000,0.000214,0.001811,0.742485
clown miles,3.000000,0.000080,0.000758,1.829668
clown own,6.000000,0.000161,0.001404,1.924978
clown looked,3.000000,0.000080,0.000758,1.742657
clown number,4.000000,0.000107,0.000980,1.296370
clown attacked,3.000000,0.000080,0.000758,1.283125
clown panic,17.000000,0.000455,0.003504,2.378646
clown press,6.000000,0.000161,0.001404,1.785216
clown dress,4.000000,0.000107,0.000980,1.081258
clown outfits,10.000000,0.000268,0.002203,3.234312
clown toward,4.000000,0.000107,0.000980,2.117350
clown side,4.000000,0.000107,0.000980,1.424203
clown killer,5.000000,0.000134,0.001195,0.888242
clown winstonsalem,3.000000,0.000080,0.000758,1.394350
clown treats,5.000000,0.000134,0.001195,2.541165
clown scares,3.000000,0.000080,0.000758,2.435804
clown adult,3.000000,0.000080,0.000758,1.924978
clown overalls,3.000000,0.000080,0.000758,2.281653
clown machete,7.000000,0.000188,0.001609,2.435804
clown greensboro,5.000000,0.000134,0.001195,1.742657
clown curly,5.000000,0.000134,0.001195,2.792479
clown yellow,7.000000,0.000188,0.001609,2.995420
clown leaving,4.000000,0.000107,0.000980,2.318021
clown grabbed,4.000000,0.000107,0.000980,2.435804
clown heightened,3.000000,0.000080,0.000758,1.742657
clown tensions,3.000000,0.000080,0.000758,2.148122
clown acting,3.000000,0.000080,0.000758,1.742657
clown pennywise,6.000000,0.000161,0.001404,1.662614
clown disappeared,4.000000,0.000107,0.000980,3.128951
clown sept,4.000000,0.000107,0.000980,1.379751
clown driving,7.000000,0.000188,0.001609,1.855986
clown associated,6.000000,0.000161,0.001404,2.355761
clown window,3.000000,0.000080,0.000758,1.924978
clown given,4.000000,0.000107,0.000980,2.117350
clown entertainers,4.000000,0.000107,0.000980,2.569335
clown strangers,3.000000,0.000080,0.000758,2.148122
clown threat,14.000000,0.000375,0.002959,1.290672
clown threatening,6.000000,0.000161,0.001404,1.070563
clown van,8.000000,0.000214,0.001811,2.072899
clown threats,42.000000,0.001125,0.007639,1.719126
clown states,19.000000,0.000509,0.003860,1.946256
clown epidemic,4.000000,0.000107,0.000980,1.742657
clown sweeping,8.000000,0.000214,0.001811,2.569335
clown kidnap,4.000000,0.000107,0.000980,2.318021
clown pair,3.000000,0.000080,0.000758,2.030339
