Number of pairs,39082.000000
Number of unique pairs,6621
Average pair frequency,5.902734
Pair entropy,8.409873

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown left,6.000000,0.000154,0.001348,1.511366
clown safety,3.000000,0.000077,0.000727,-0.351852
clown posted,3.000000,0.000077,0.000727,-0.242653
clown drive,5.000000,0.000128,0.001147,1.734510
clown complaints,3.000000,0.000077,0.000727,0.182230
clown lure,89.000000,0.002277,0.013857,2.454224
clown appears,6.000000,0.000154,0.001348,1.310695
clown public,19.000000,0.000486,0.003709,1.043558
clown due,3.000000,0.000077,0.000727,0.818219
clown several,13.000000,0.000333,0.002664,0.744111
clown clothing,17.000000,0.000435,0.003367,2.552820
clown childrens,5.000000,0.000128,0.001147,0.852120
clown hours,5.000000,0.000128,0.001147,0.753680
clown anymore,3.000000,0.000077,0.000727,1.223684
clown issue,3.000000,0.000077,0.000727,0.573096
clown son,5.000000,0.000128,0.001147,0.693056
clown seeing,4.000000,0.000102,0.000940,-0.321215
clown basketball,6.000000,0.000154,0.001348,2.609978
clown court,7.000000,0.000179,0.001545,1.722675
clown community,10.000000,0.000256,0.002116,1.020743
clown suspicious,5.000000,0.000128,0.001147,0.092282
clown character,6.000000,0.000154,0.001348,1.266244
clown attire,10.000000,0.000256,0.002116,2.427657
clown white,33.000000,0.000844,0.005976,1.584697
clown paint,11.000000,0.000281,0.002301,1.749777
clown enticing,6.000000,0.000154,0.001348,2.204513
clown state,19.000000,0.000486,0.003709,1.111766
clown name,4.000000,0.000102,0.000940,0.818219
clown presence,4.000000,0.000102,0.000940,1.431323
clown laser,12.000000,0.000307,0.002484,2.529936
clown lights,10.000000,0.000256,0.002116,2.347614
clown blinking,12.000000,0.000307,0.002484,2.529936
clown nose,20.000000,0.000512,0.003878,2.050363
clown streetlight,3.000000,0.000077,0.000727,2.609978
clown persuade,4.000000,0.000102,0.000940,2.609978
clown further,7.000000,0.000179,0.001545,1.916831
clown displaying,4.000000,0.000102,0.000940,2.050363
clown amounts,6.000000,0.000154,0.001348,1.762680
clown money,11.000000,0.000281,0.002301,1.640578
clown lived,7.000000,0.000179,0.001545,2.358664
clown old,6.000000,0.000154,0.001348,1.406006
clown pond,12.000000,0.000307,0.002484,2.150446
clown located,4.000000,0.000102,0.000940,1.916831
clown activity,11.000000,0.000281,0.002301,1.511366
clown area,39.000000,0.000998,0.006895,1.421510
clown gunshots,3.000000,0.000077,0.000727,1.762680
clown fired,4.000000,0.000102,0.000940,1.916831
clown emerald,3.000000,0.000077,0.000727,1.629149
clown commons,3.000000,0.000077,0.000727,1.629149
clown saw,8.000000,0.000205,0.001739,0.235073
clown released,3.000000,0.000077,0.000727,0.617548
clown incident,5.000000,0.000128,0.001147,-0.246492
clown shemwood,9.000000,0.000230,0.001929,2.168146
clown sighted,7.000000,0.000179,0.001545,2.476447
clown backyard,9.000000,0.000230,0.001929,2.609978
clown red,27.000000,0.000691,0.005028,1.762680
clown mask,73.000000,0.001868,0.011736,2.199957
clown juvenile,3.000000,0.000077,0.000727,1.000540
clown seriously,9.000000,0.000230,0.001929,0.875377
clown within,4.000000,0.000102,0.000940,1.431323
clown started,16.000000,0.000409,0.003194,1.393583
clown wooden,4.000000,0.000102,0.000940,2.609978
clown fence,4.000000,0.000102,0.000940,2.609978
clown broke,5.000000,0.000128,0.001147,2.139975
clown car,16.000000,0.000409,0.003194,1.827219
clown jumped,7.000000,0.000179,0.001545,2.609978
clown took,11.000000,0.000281,0.002301,1.481513
clown appeared,9.000000,0.000230,0.001929,1.973990
clown wednesday,5.000000,0.000128,0.001147,0.435227
clown young,9.000000,0.000230,0.001929,1.511366
clown girl,6.000000,0.000154,0.001348,0.738176
clown home,12.000000,0.000307,0.002484,0.984011
clown school,33.000000,0.000844,0.005976,0.605228
clown pleasant,3.000000,0.000077,0.000727,2.099153
clown street,8.000000,0.000205,0.001739,1.163059
clown park,9.000000,0.000230,0.001929,1.716160
clown witness,3.000000,0.000077,0.000727,1.310695
clown coming,10.000000,0.000256,0.002116,1.616727
clown pants,6.000000,0.000154,0.001348,1.693688
clown twitter,17.000000,0.000435,0.003367,1.571991
clown else,3.000000,0.000077,0.000727,1.069533
clown stories,5.000000,0.000128,0.001147,1.274977
clown stephen,9.000000,0.000230,0.001929,0.855959
clown kings,4.000000,0.000102,0.000940,0.818219
clown south,34.000000,0.000870,0.006131,1.292152
clown someone,17.000000,0.000435,0.003367,0.779753
clown hanging,9.000000,0.000230,0.001929,2.242254
clown parents,6.000000,0.000154,0.001348,0.212083
