Number of pairs,27786.000000
Number of unique pairs,4924
Average pair frequency,5.642973
Pair entropy,8.144008

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clown heightened,3.000000,0.000108,0.000986,2.461150
clown tensions,3.000000,0.000108,0.000986,2.866615
clown public,7.000000,0.000252,0.002088,1.271566
clown video,3.000000,0.000108,0.000986,0.920705
clown pictures,3.000000,0.000108,0.000986,1.650220
clown person,11.000000,0.000396,0.003102,1.340065
clown prank,4.000000,0.000144,0.001273,1.496069
clown news,6.000000,0.000216,0.001823,0.843413
clown scare,15.000000,0.000540,0.004062,2.396612
clown killer,4.000000,0.000144,0.001273,1.362538
clown craze,18.000000,0.000648,0.004756,3.048937
clown community,7.000000,0.000252,0.002088,1.861529
clown chasing,12.000000,0.000432,0.003346,2.643472
clown scared,3.000000,0.000108,0.000986,1.390709
clown holding,6.000000,0.000216,0.001823,2.643472
clown makeup,16.000000,0.000576,0.004296,2.791392
clown local,10.000000,0.000360,0.002854,1.845965
clown threatening,3.000000,0.000108,0.000986,1.034034
clown halloween,10.000000,0.000360,0.002854,1.585681
clown rumors,5.000000,0.000180,0.001552,2.198786
clown hysteria,37.000000,0.001332,0.008817,3.027546
clown arrests,3.000000,0.000108,0.000986,1.544859
clown call,4.000000,0.000144,0.001273,0.779392
clown scaring,6.000000,0.000216,0.001823,2.173468
clown years,10.000000,0.000360,0.002854,2.258209
clown home,3.000000,0.000108,0.000986,0.527216
clown whole,3.000000,0.000108,0.000986,1.419696
clown nothing,3.000000,0.000108,0.000986,0.868519
clown stephen,4.000000,0.000144,0.001273,1.263447
clown started,7.000000,0.000252,0.002088,1.502895
clown continued,3.000000,0.000108,0.000986,2.381107
clown twitter,6.000000,0.000216,0.001823,1.727181
clown sightings,205.000000,0.007378,0.036220,3.405263
clown hoaxes,5.000000,0.000180,0.001552,1.901534
clown costumes,43.000000,0.001548,0.010014,3.418990
clown funny,3.000000,0.000108,0.000986,1.117415
clown isnt,3.000000,0.000108,0.000986,1.282495
clown without,3.000000,0.000108,0.000986,1.855014
clown face,20.000000,0.000720,0.005209,2.179738
clown childrens,5.000000,0.000180,0.001552,2.089587
clown something,3.000000,0.000108,0.000986,0.292096
clown business,3.000000,0.000108,0.000986,2.238007
clown parties,4.000000,0.000144,0.001273,2.525689
clown doesnt,6.000000,0.000216,0.001823,2.381107
clown fear,7.000000,0.000252,0.002088,1.229006
clown gets,3.000000,0.000108,0.000986,2.173468
clown case,3.000000,0.000108,0.000986,1.390709
clown hanging,3.000000,0.000108,0.000986,2.307000
clown bad,4.000000,0.000144,0.001273,1.622821
clown masks,48.000000,0.001727,0.010989,3.575511
clown rash,3.000000,0.000108,0.000986,1.613852
clown attacks,5.000000,0.000180,0.001552,2.891933
clown united,3.000000,0.000108,0.000986,2.173468
clown states,13.000000,0.000468,0.003587,2.207701
