Number of pairs,28825.000000
Number of unique pairs,4916
Average pair frequency,5.863507
Pair entropy,8.096612

Pair,Frequency,Proportion,Entropy Term,Mutual Information
clowns society,3.000000,0.000104,0.000954,1.714085
clowns group,4.000000,0.000139,0.001233,1.020937
clowns laugh,4.000000,0.000139,0.001233,0.925627
clowns business,5.000000,0.000173,0.001502,2.224910
clowns parties,5.000000,0.000173,0.001502,2.224910
clowns doesnt,8.000000,0.000278,0.002273,2.144868
clowns fear,12.000000,0.000416,0.003241,1.244081
clowns break,3.000000,0.000104,0.000954,1.783077
clowns gets,3.000000,0.000104,0.000954,1.649546
clowns case,4.000000,0.000139,0.001233,1.154469
clowns hanging,8.000000,0.000278,0.002273,2.763907
clowns bad,6.000000,0.000208,0.001765,1.504364
clowns masks,48.000000,0.001665,0.010654,3.051589
clowns rash,3.000000,0.000104,0.000954,1.089930
clowns attacks,5.000000,0.000173,0.001502,2.368011
clowns terrorized,3.000000,0.000104,0.000954,2.812697
clowns united,4.000000,0.000139,0.001233,1.937228
clowns states,22.000000,0.000763,0.005478,2.209872
clowns months,4.000000,0.000139,0.001233,-0.935630
clowns given,4.000000,0.000139,0.001233,1.819445
clowns current,3.000000,0.000104,0.000954,1.244081
clowns online,5.000000,0.000173,0.001502,1.195291
clowns turned,9.000000,0.000312,0.002520,1.550455
clowns led,4.000000,0.000139,0.001233,2.070760
clowns outfits,9.000000,0.000312,0.002520,3.323523
clowns apparently,3.000000,0.000104,0.000954,1.531763
clowns reached,3.000000,0.000104,0.000954,0.895774
clowns october,5.000000,0.000173,0.001502,1.406600
clowns zero,3.000000,0.000104,0.000954,3.035840
clowns august,10.000000,0.000347,0.002764,1.583056
clowns residents,9.000000,0.000312,0.002520,1.066400
clowns prompted,3.000000,0.000104,0.000954,2.119550
clowns nearby,7.000000,0.000243,0.002021,2.379061
clowns fleetwood,6.000000,0.000208,0.001765,1.072231
clowns apartments,3.000000,0.000104,0.000954,0.414802
clowns began,13.000000,0.000451,0.003475,1.956646
clowns pranks,5.000000,0.000173,0.001502,1.637124
clowns planning,4.000000,0.000139,0.001233,2.630375
clowns images,8.000000,0.000278,0.002273,2.630375
clowns associated,6.000000,0.000208,0.001765,2.550333
clowns such,4.000000,0.000139,0.001233,0.817997
clowns horror,10.000000,0.000347,0.002764,1.937228
clowns peoples,3.000000,0.000104,0.000954,1.531763
clowns hit,8.000000,0.000278,0.002273,1.968977
clowns sales,5.000000,0.000173,0.001502,2.293903
clowns year,15.000000,0.000520,0.003935,2.006221
clowns hurt,4.000000,0.000139,0.001233,1.308620
clowns epidemic,4.000000,0.000139,0.001233,1.937228
clowns evil,3.000000,0.000104,0.000954,0.510112
clowns percent,5.000000,0.000173,0.001502,2.368011
clowns image,5.000000,0.000173,0.001502,1.637124
clowns world,4.000000,0.000139,0.001233,1.046255
clowns association,11.000000,0.000382,0.003004,3.156468
clowns recently,11.000000,0.000382,0.003004,2.007846
clowns stuff,4.000000,0.000139,0.001233,2.001767
clowns march,9.000000,0.000312,0.002520,2.224910
clowns arizona,4.000000,0.000139,0.001233,2.144868
clowns scares,3.000000,0.000104,0.000954,2.630375
clowns facebook,5.000000,0.000173,0.001502,0.478613
clowns page,3.000000,0.000104,0.000954,0.956399
clowns arent,8.000000,0.000278,0.002273,2.224910
clowns america,6.000000,0.000208,0.001765,1.857185
clowns always,5.000000,0.000173,0.001502,1.322043
clowns side,3.000000,0.000104,0.000954,1.020937
clowns sweeping,8.000000,0.000278,0.002273,2.763907
clowns nation,14.000000,0.000486,0.003706,2.466072
clowns outside,20.000000,0.000694,0.005046,2.387429
clowns state,16.000000,0.000555,0.004161,1.630203
clowns car,15.000000,0.000520,0.003935,2.160372
clowns full,9.000000,0.000312,0.002520,1.883161
clowns possibly,9.000000,0.000312,0.002520,2.429705
clowns armed,17.000000,0.000590,0.004385,2.630375
clowns york,4.000000,0.000139,0.001233,1.046255
clowns campus,15.000000,0.000520,0.003935,2.202931
clowns hiding,5.000000,0.000173,0.001502,2.448054
clowns bushes,8.000000,0.000278,0.002273,3.100379
clowns jumping,11.000000,0.000382,0.003004,3.156468
clowns large,10.000000,0.000347,0.002764,2.129600
clowns knife,10.000000,0.000347,0.002764,2.070760
clowns serious,3.000000,0.000104,0.000954,0.895774
clowns several,10.000000,0.000347,0.002764,1.051397
clowns stories,5.000000,0.000173,0.001502,1.714085
clowns viral,8.000000,0.000278,0.002273,2.107127
clowns getting,4.000000,0.000139,0.001233,0.881176
clowns pretty,3.000000,0.000104,0.000954,1.089930
clowns far,5.000000,0.000173,0.001502,1.148771
clowns running,8.000000,0.000278,0.002273,1.490941
clowns towns,3.000000,0.000104,0.000954,2.630375
clowns town,4.000000,0.000139,0.001233,0.972147
clowns idiots,3.000000,0.000104,0.000954,2.476225
clowns suit,12.000000,0.000416,0.003241,2.975216
clowns citizens,4.000000,0.000139,0.001233,2.001767
clowns own,8.000000,0.000278,0.002273,2.144868
clowns moving,3.000000,0.000104,0.000954,2.024240
clowns live,6.000000,0.000208,0.001765,2.224910
clowns squirting,3.000000,0.000104,0.000954,3.035840
clowns officer,3.000000,0.000104,0.000954,0.758573
clowns kidnap,5.000000,0.000173,0.001502,2.735736
clowns child,6.000000,0.000208,0.001765,1.089930
clowns true,3.000000,0.000104,0.000954,1.126298
clowns luring,8.000000,0.000278,0.002273,3.100379
clowns money,3.000000,0.000104,0.000954,0.866787
